@relation lottoInfo-weka.filters.unsupervised.attribute.Remove-R1

@attribute num1 numeric
@attribute num2 numeric
@attribute num3 numeric
@attribute num4 numeric
@attribute num5 numeric
@attribute num6 numeric
@attribute bonusNum numeric
@attribute winningDate numeric

@data
3,11,15,20,35,44,10,20220917
1,6,12,19,36,42,28,20220910
6,7,22,32,35,36,19,20220903
2,5,11,17,24,29,9,20220827
12,30,32,37,39,41,24,20220820
5,7,12,13,18,35,23,20220813
14,16,27,35,39,45,5,20220806
5,12,13,31,32,41,34,20220730
8,9,20,25,29,33,7,20220723
9,18,20,22,38,44,10,20220716
10,14,16,18,29,35,25,20220709
5,6,11,29,42,45,28,20220702
12,15,17,24,29,45,16,20220625
12,27,29,38,41,45,6,20220618
1,4,13,17,34,39,6,20220611
3,19,21,25,37,45,35,20220604
12,18,22,23,30,34,32,20220528
15,26,28,34,41,42,44,20220521
14,23,31,33,37,40,44,20220514
3,11,14,18,26,27,21,20220507
21,22,26,34,36,41,32,20220430
5,11,18,20,35,45,3,20220423
1,9,12,26,35,38,42,20220416
9,12,15,25,34,36,3,20220409
15,23,29,34,40,44,20,20220402
9,11,30,31,41,44,33,20220326
8,11,16,19,21,25,40,20220319
8,11,15,16,17,37,36,20220312
8,13,18,24,27,29,17,20220305
7,15,30,37,39,44,18,20220226
1,4,29,39,43,45,31,20220219
17,25,33,35,38,45,15,20220212
6,10,12,14,20,42,15,20220205
2,8,19,22,32,42,39,20220129
1,3,9,14,18,28,34,20220122
13,17,18,20,42,45,41,20220115
4,7,14,16,24,44,20,20220108
6,11,15,24,32,39,28,20220101
1,4,13,29,38,39,7,20211225
1,3,8,24,27,35,28,20211218
6,14,16,18,24,42,44,20211211
12,20,26,33,44,45,24,20211204
13,18,25,31,33,44,38,20211127
2,4,25,26,36,37,28,20211120
17,18,21,27,29,33,26,20211113
2,13,20,30,31,41,27,20211106
2,4,15,23,29,38,7,20211030
7,10,16,28,41,42,40,20211023
17,21,23,30,34,44,19,20211016
3,10,23,35,36,37,18,20211009
13,23,26,31,35,43,15,20211002
5,7,13,20,21,44,33,20210925
27,36,37,41,43,45,32,20210918
3,13,16,23,24,35,14,20210911
7,11,16,21,27,33,24,20210904
1,7,15,32,34,42,8,20210828
2,9,10,14,22,44,16,20210821
4,12,14,25,35,37,2,20210814
7,8,9,17,22,24,5,20210807
1,2,11,16,39,44,32,20210731
22,26,31,37,41,42,24,20210724
3,6,17,23,37,39,26,20210717
2,6,17,18,21,26,7,20210710
9,11,16,21,28,36,5,20210703
3,9,10,29,40,45,7,20210626
2,5,12,14,24,39,33,20210619
1,6,13,37,38,40,9,20210612
1,21,25,29,34,37,36,20210605
2,13,25,28,29,36,34,20210529
6,21,36,38,39,43,30,20210522
6,12,19,23,34,42,35,20210515
1,18,28,31,34,43,40,20210508
11,20,29,31,33,42,43,20210501
2,18,24,30,32,45,14,20210424
1,14,15,24,40,41,35,20210417
2,9,10,16,35,37,1,20210410
4,15,24,35,36,40,1,20210403
10,11,20,21,25,41,40,20210327
4,9,23,26,29,33,8,20210320
1,9,26,28,30,41,32,20210313
7,9,22,27,37,42,34,20210306
4,12,22,24,33,41,38,20210227
2,12,30,31,39,43,38,20210220
3,4,15,22,28,40,10,20210213
14,21,35,36,40,44,30,20210206
13,18,30,31,38,41,5,20210130
3,8,17,20,27,35,26,20210123
9,18,19,30,34,40,20,20210116
9,10,15,30,33,37,26,20210109
2,13,16,19,32,33,42,20210102
1,8,13,36,44,45,39,20201226
10,12,18,35,42,43,39,20201219
12,14,25,27,39,40,35,20201212
3,15,20,22,24,41,11,20201205
4,11,28,39,42,45,6,20201128
4,8,10,16,31,36,9,20201121
2,10,13,22,29,40,26,20201114
7,11,13,17,18,29,43,20201107
4,10,20,32,38,44,18,20201031
1,3,30,33,36,39,12,20201024
23,27,29,31,36,45,37,20201017
1,6,15,36,37,38,5,20201010
14,15,23,25,35,43,32,20201003
8,21,25,38,39,44,28,20200926
7,9,12,15,19,23,4,20200919
3,4,10,20,28,44,30,20200912
4,15,22,38,41,43,26,20200905
10,16,18,20,25,31,6,20200829
13,24,32,34,39,42,4,20200822
3,11,34,42,43,44,13,20200815
3,17,18,23,36,41,26,20200808
2,6,13,17,27,43,36,20200801
5,7,12,22,28,41,1,20200725
2,3,26,33,34,43,29,20200718
9,14,17,18,42,44,35,20200711
7,11,12,31,33,38,5,20200704
1,3,23,24,27,43,34,20200627
6,21,22,32,35,36,17,20200620
2,6,11,13,22,37,14,20200613
16,19,24,33,42,44,27,20200606
6,14,16,21,27,37,40,20200530
5,8,18,21,22,38,10,20200523
4,5,12,14,32,42,35,20200516
1,11,17,27,35,39,31,20200509
7,24,29,30,34,35,33,20200502
3,16,21,22,23,44,30,20200425
21,27,29,38,40,44,37,20200418
2,5,14,28,31,32,20,20200411
3,4,16,27,38,40,20,20200404
2,6,8,26,43,45,11,20200328
2,15,16,21,22,28,45,20200321
7,19,23,24,36,39,30,20200314
5,18,20,23,30,34,21,20200307
7,13,16,18,35,38,14,20200229
8,19,20,21,33,39,37,20200222
18,21,28,35,37,42,17,20200215
6,7,12,22,26,36,29,20200208
5,12,25,26,38,45,23,20200201
16,26,31,38,39,41,23,20200125
19,32,37,40,41,43,45,20200118
1,15,17,23,25,41,10,20200111
4,9,17,18,26,42,36,20200104
9,13,28,31,39,41,19,20191228
1,4,14,18,29,37,6,20191221
3,13,29,38,39,42,26,20191214
3,7,12,31,34,38,32,20191207
8,14,17,27,36,45,10,20191130
19,23,28,37,42,45,2,20191123
1,3,24,27,39,45,31,20191116
4,14,23,28,37,45,17,20191109
9,18,32,33,37,44,22,20191102
18,34,39,43,44,45,23,20191026
4,18,20,26,27,32,9,20191019
7,17,19,23,24,45,38,20191012
1,4,10,14,15,35,20,20191005
2,6,11,16,25,31,3,20190928
5,17,18,22,23,43,12,20190921
5,16,21,26,34,42,24,20190914
19,22,30,34,39,44,36,20190907
1,15,19,23,28,42,32,20190831
3,5,12,13,33,39,38,20190824
2,4,30,32,33,43,29,20190817
2,6,12,26,30,34,38,20190810
21,25,30,32,40,42,31,20190803
2,6,20,27,37,39,4,20190727
12,17,28,41,43,44,25,20190720
14,17,19,22,24,40,41,20190713
9,15,29,34,37,39,12,20190706
3,15,22,32,33,45,2,20190629
3,7,10,13,25,36,32,20190622
16,21,28,35,39,43,12,20190615
10,34,38,40,42,43,32,20190608
11,17,19,21,22,25,24,20190601
4,8,18,25,27,32,42,20190525
8,22,35,38,39,41,24,20190518
9,13,32,38,39,43,23,20190511
6,10,16,28,34,38,43,20190504
10,24,40,41,43,44,17,20190427
8,15,17,19,43,44,7,20190420
20,25,31,32,36,43,3,20190413
2,8,23,26,27,44,13,20190406
11,17,28,30,33,35,9,20190330
14,18,22,26,31,44,40,20190323
16,20,24,28,36,39,5,20190316
5,13,17,29,34,39,3,20190309
1,2,16,22,38,39,34,20190302
12,16,26,28,30,42,22,20190223
5,18,30,41,43,45,13,20190216
1,16,29,33,40,45,6,20190209
7,8,13,15,33,45,18,20190202
19,21,30,33,34,42,4,20190126
14,26,32,36,39,42,38,20190119
5,11,14,30,33,38,24,20190112
2,4,11,28,29,43,27,20190105
3,9,11,12,13,19,35,20181229
9,14,17,33,36,38,20,20181222
2,25,28,30,33,45,6,20181215
1,9,11,14,26,28,19,20181208
9,10,13,28,38,45,35,20181201
6,8,18,35,42,43,3,20181124
12,18,30,39,41,42,19,20181117
13,14,19,26,40,43,30,20181110
3,10,16,19,31,39,9,20181103
5,6,16,18,37,38,17,20181027
4,5,31,35,43,45,29,20181020
4,7,13,29,31,39,18,20181013
5,11,12,29,33,44,14,20181006
13,16,24,25,33,36,42,20180929
8,15,21,31,33,38,42,20180922
7,9,24,29,34,38,26,20180915
12,18,24,26,39,40,15,20180908
9,18,20,24,27,36,12,20180901
1,12,13,24,29,44,16,20180825
10,21,22,30,35,42,6,20180818
16,25,33,38,40,45,15,20180811
14,15,25,28,29,30,3,20180804
3,9,12,13,25,43,34,20180728
12,18,19,29,31,39,7,20180721
17,21,25,26,27,36,4,20180714
2,21,28,38,42,45,30,20180707
11,30,34,35,42,44,27,20180630
1,3,12,14,16,43,10,20180623
8,11,19,21,36,45,25,20180616
5,10,13,21,39,43,11,20180609
6,11,15,17,23,40,39,20180602
15,21,31,32,41,43,24,20180526
6,10,18,25,34,35,33,20180519
14,20,23,31,37,38,27,20180512
3,12,13,18,31,32,42,20180505
1,10,13,26,32,36,9,20180428
5,9,14,26,30,43,2,20180421
10,11,12,18,24,42,27,20180414
17,25,28,37,43,44,2,20180407
1,4,10,12,28,45,26,20180331
12,17,23,34,42,45,33,20180324
2,10,14,22,32,36,41,20180317
5,22,31,32,39,45,36,20180310
1,21,26,36,40,41,5,20180303
3,10,13,26,34,38,36,20180224
6,7,18,19,30,38,13,20180217
10,15,21,35,38,43,31,20180210
2,7,19,25,29,36,16,20180203
2,10,12,31,33,42,32,20180127
3,8,19,27,30,41,12,20180120
2,6,7,12,19,45,38,20180113
2,10,11,19,35,39,29,20180106
5,6,13,16,27,28,9,20171230
12,15,16,20,24,30,38,20171223
4,6,15,25,26,33,40,20171216
3,10,23,24,31,39,22,20171209
14,15,16,17,38,45,36,20171202
6,18,31,34,38,45,20,20171125
11,16,18,19,24,39,43,20171118
15,17,19,21,27,45,16,20171111
6,12,19,24,34,41,4,20171104
6,21,35,36,37,41,11,20171028
6,12,17,21,34,37,18,20171021
8,9,18,21,28,40,20,20171014
11,12,29,33,38,42,17,20171007
12,15,18,28,34,42,9,20170930
8,12,19,21,31,35,44,20170923
5,6,11,14,21,41,32,20170916
6,10,17,18,21,29,30,20170909
1,9,12,23,39,43,34,20170902
5,7,11,16,41,45,4,20170826
7,27,29,30,38,44,4,20170819
5,15,20,31,34,42,22,20170812
9,30,34,35,39,41,21,20170805
1,3,8,12,42,43,33,20170729
7,22,24,31,34,36,15,20170722
3,8,16,32,34,43,10,20170715
1,3,12,21,26,41,16,20170708
4,7,11,24,42,45,30,20170701
10,22,27,31,42,43,12,20170624
9,33,36,40,42,43,32,20170617
5,9,12,30,39,43,24,20170610
6,7,11,17,33,44,1,20170603
10,14,16,18,27,28,4,20170527
13,14,26,28,30,36,37,20170520
2,8,17,24,29,31,32,20170513
2,17,19,24,37,41,3,20170506
4,16,20,33,40,43,7,20170429
3,4,16,20,28,44,17,20170422
1,2,15,19,24,36,12,20170415
12,14,24,26,34,45,41,20170408
3,10,13,22,31,32,29,20170401
7,9,12,14,23,28,17,20170325
3,12,33,36,42,45,25,20170318
1,2,3,9,12,23,10,20170311
10,15,18,21,34,41,43,20170304
15,19,21,34,41,44,10,20170225
8,10,13,36,37,40,6,20170218
5,21,27,34,44,45,16,20170211
4,8,9,16,17,19,31,20170204
7,22,29,33,34,35,30,20170128
23,27,28,38,42,43,36,20170121
13,15,18,24,27,41,11,20170114
2,11,17,18,21,27,6,20170107
5,10,13,27,37,41,4,20161231
6,16,37,38,41,45,18,20161224
11,24,32,33,35,40,13,20161217
2,4,5,17,27,32,43,20161210
2,7,13,25,42,45,39,20161203
4,10,14,15,18,22,39,20161126
11,17,21,26,36,45,16,20161119
3,6,10,30,34,37,36,20161112
7,8,10,19,21,31,20,20161105
1,11,21,23,34,44,24,20161029
6,7,19,21,41,43,38,20161022
2,8,33,35,37,41,14,20161015
20,30,33,35,36,44,22,20161008
12,14,21,30,39,43,45,20161001
1,28,35,41,43,44,31,20160924
1,12,29,34,36,37,41,20160917
4,8,13,19,20,43,26,20160910
4,11,20,23,32,39,40,20160903
2,11,19,25,28,32,44,20160827
2,6,13,16,29,30,21,20160820
2,7,27,33,41,44,10,20160813
1,7,22,33,37,40,20,20160806
2,5,15,18,19,23,44,20160730
17,20,30,31,33,45,19,20160723
11,15,24,35,37,45,42,20160716
3,4,9,24,25,33,10,20160709
10,18,30,36,39,44,32,20160702
2,10,16,19,34,45,1,20160625
2,12,19,24,39,44,35,20160618
3,4,6,10,28,30,37,20160611
1,6,17,22,28,45,23,20160604
1,4,8,23,33,42,45,20160528
10,28,31,33,41,44,21,20160521
3,13,16,24,26,29,9,20160514
3,10,14,16,36,38,35,20160507
11,23,28,29,30,44,13,20160430
4,5,8,16,21,29,3,20160423
3,11,13,21,33,37,18,20160416
2,5,8,11,33,39,31,20160409
1,7,16,18,34,38,21,20160402
4,18,26,33,34,38,14,20160326
7,15,20,25,33,43,12,20160319
1,6,11,28,34,42,30,20160312
3,11,14,15,32,36,44,20160305
15,27,33,35,43,45,16,20160227
24,25,33,34,38,39,43,20160220
7,17,19,30,36,38,34,20160213
5,15,22,23,34,35,2,20160206
1,8,10,13,28,42,45,20160130
7,12,15,24,25,43,13,20160123
6,7,12,28,38,40,18,20160116
1,11,15,17,25,39,40,20160109
6,13,20,27,28,40,15,20160102
17,23,27,35,38,43,2,20151226
21,24,27,29,43,44,7,20151219
4,10,19,29,32,42,30,20151212
3,5,7,14,26,34,35,20151205
4,5,6,12,25,37,45,20151128
12,15,24,36,41,44,42,20151121
1,8,17,34,39,45,27,20151114
1,8,11,15,18,45,7,20151107
9,10,14,25,27,31,11,20151031
7,10,17,29,33,44,5,20151024
8,21,28,31,36,45,43,20151017
7,9,10,13,31,35,24,20151010
11,18,26,27,40,41,25,20151003
7,8,20,29,33,38,9,20150926
12,14,15,24,27,32,3,20150919
15,17,25,37,42,43,13,20150912
2,4,6,11,17,28,16,20150905
5,6,11,17,38,44,13,20150829
10,20,33,36,41,44,5,20150822
3,5,8,19,38,42,20,20150815
5,6,9,11,15,37,26,20150808
2,3,12,20,27,38,40,20150801
4,9,23,33,39,44,14,20150725
7,18,19,27,29,42,45,20150718
8,19,25,28,32,36,37,20150711
10,14,19,39,40,43,23,20150704
3,7,14,16,31,40,39,20150627
7,37,38,39,40,44,18,20150620
16,21,26,31,36,43,6,20150613
5,6,26,27,38,39,1,20150606
3,13,15,40,41,44,20,20150530
11,12,16,26,29,44,18,20150523
3,4,7,11,31,41,35,20150516
3,21,22,33,41,42,20,20150509
13,19,28,37,38,43,4,20150502
5,16,21,23,24,30,29,20150425
2,9,24,41,43,45,30,20150418
1,4,16,26,40,41,31,20150411
5,13,17,23,28,36,8,20150404
15,24,31,32,33,40,13,20150328
8,17,18,24,39,45,32,20150321
11,18,21,36,37,43,12,20150314
14,15,18,21,26,35,23,20150307
6,15,22,23,25,32,40,20150228
7,18,22,24,31,34,6,20150221
3,16,22,37,38,44,23,20150214
6,7,15,16,20,31,26,20150207
11,13,25,26,29,33,32,20150131
4,10,11,12,20,27,38,20150124
9,12,19,20,39,41,13,20150117
15,18,21,32,35,44,6,20150110
1,2,4,23,31,34,8,20150103
8,17,21,24,27,31,15,20141227
19,28,31,38,43,44,1,20141220
1,7,12,15,23,42,11,20141213
2,9,22,25,31,45,12,20141206
13,14,26,33,40,43,15,20141129
3,6,7,20,21,39,13,20141122
1,7,19,26,27,35,16,20141115
7,13,30,39,41,45,25,20141108
9,15,16,21,28,34,24,20141101
1,2,6,16,19,42,9,20141025
2,16,17,32,39,45,40,20141018
6,8,13,30,35,40,21,20141011
8,16,25,30,42,43,15,20141004
4,5,11,12,24,27,28,20140927
5,13,18,23,40,45,3,20140920
10,17,18,19,23,27,35,20140913
8,21,25,39,40,44,18,20140906
7,8,11,16,41,44,35,20140830
6,9,18,19,25,33,40,20140823
2,22,27,33,36,37,14,20140816
14,18,20,23,28,36,33,20140809
4,8,27,34,39,40,13,20140802
4,8,18,19,39,44,41,20140726
8,14,23,36,38,39,13,20140719
1,5,6,14,20,39,22,20140712
1,2,7,9,10,38,42,20140705
2,6,18,21,33,34,30,20140628
2,19,25,26,27,43,28,20140621
13,14,22,27,30,38,2,20140614
2,16,19,31,34,35,37,20140607
5,11,14,27,29,36,44,20140531
5,12,17,29,34,35,27,20140524
4,12,24,33,38,45,22,20140517
8,10,23,24,35,43,37,20140510
3,4,12,14,25,43,17,20140503
8,24,28,35,38,40,5,20140426
2,8,13,25,28,37,3,20140419
9,10,13,24,33,38,28,20140412
2,5,6,13,28,44,43,20140405
8,13,14,30,38,39,5,20140329
20,30,36,38,41,45,23,20140322
6,8,28,33,38,39,22,20140315
2,8,15,22,25,41,30,20140308
14,21,29,31,32,37,17,20140301
2,7,12,15,21,34,5,20140222
6,7,10,16,38,41,4,20140215
7,18,30,39,40,41,36,20140208
8,17,27,33,40,44,24,20140201
2,12,14,33,40,41,25,20140125
3,5,14,20,42,44,33,20140118
5,7,9,11,32,35,33,20140111
5,7,20,22,37,42,39,20140104
5,12,14,32,34,42,16,20131228
16,17,22,31,34,37,33,20131221
10,11,15,25,35,41,13,20131214
2,8,20,30,33,34,6,20131207
14,15,16,19,25,43,2,20131130
2,4,20,34,35,43,14,20131123
3,13,18,33,37,45,1,20131116
11,18,21,26,38,43,29,20131109
1,12,26,27,29,33,42,20131102
3,6,13,23,24,35,1,20131026
1,3,17,20,31,44,40,20131019
1,10,15,16,32,41,28,20131012
4,5,6,25,26,43,41,20131005
4,10,18,27,40,45,38,20130928
14,19,25,26,27,34,2,20130921
5,10,16,17,31,32,21,20130914
4,11,13,17,20,31,33,20130907
5,7,18,37,42,45,20,20130831
1,4,20,23,29,45,28,20130824
11,12,25,32,44,45,23,20130817
12,15,19,26,40,43,29,20130810
4,20,26,28,35,40,31,20130803
12,20,23,28,30,44,43,20130727
11,17,21,24,26,36,12,20130720
13,14,17,32,41,42,6,20130713
2,7,17,28,29,39,37,20130706
1,10,20,32,35,40,43,20130629
3,6,20,24,27,44,25,20130622
1,7,14,20,34,37,41,20130615
29,31,35,38,40,44,17,20130608
1,12,13,21,32,45,14,20130601
6,7,15,22,34,39,28,20130525
8,17,20,27,37,43,6,20130518
4,24,25,27,34,35,2,20130511
5,17,21,25,36,44,10,20130504
13,18,26,31,34,44,12,20130427
5,6,19,26,41,45,34,20130420
8,13,26,28,32,34,43,20130413
3,12,13,15,34,36,14,20130406
3,19,22,31,42,43,26,20130330
6,10,18,31,32,34,11,20130323
12,23,26,30,36,43,11,20130316
7,8,18,32,37,43,12,20130309
11,12,14,15,18,39,34,20130302
10,24,26,29,37,38,32,20130223
9,14,15,17,31,33,23,20130216
16,17,23,24,29,44,3,20130209
1,5,9,21,27,35,45,20130202
16,23,27,29,33,41,22,20130126
18,20,24,27,31,42,39,20130119
5,17,25,31,39,40,10,20130112
1,12,22,32,33,42,38,20130105
7,14,17,20,35,39,31,20121229
11,23,26,29,39,44,22,20121222
10,11,29,38,41,45,21,20121215
1,4,37,38,40,45,7,20121208
4,5,13,14,37,41,11,20121201
3,7,18,29,32,36,19,20121124
4,22,27,28,38,40,1,20121117
6,8,13,16,30,43,3,20121110
14,23,30,32,34,38,6,20121103
1,9,12,28,36,41,10,20121027
2,8,23,41,43,44,30,20121020
2,11,12,15,23,37,8,20121013
1,15,20,26,35,42,9,20121006
5,8,21,23,27,33,12,20120929
4,5,9,13,26,27,1,20120922
3,7,14,23,26,42,24,20120915
12,29,32,33,39,40,42,20120908
12,25,29,35,42,43,24,20120901
5,27,31,34,35,43,37,20120825
12,13,32,33,40,41,4,20120818
6,9,11,22,24,30,31,20120811
7,20,22,25,38,40,44,20120804
6,14,22,26,43,44,31,20120728
1,5,27,30,34,36,40,20120721
6,22,28,32,34,40,26,20120714
1,4,10,17,31,42,2,20120707
3,4,12,20,24,34,41,20120630
5,20,23,27,35,40,43,20120623
13,14,24,32,39,41,3,20120616
19,20,23,24,43,44,13,20120609
4,13,20,29,36,41,39,20120602
4,13,22,27,34,44,6,20120526
5,7,8,15,30,43,22,20120519
20,22,26,33,36,37,25,20120512
22,27,31,35,37,40,42,20120505
8,17,35,36,39,42,4,20120428
2,7,26,29,40,43,42,20120421
2,4,8,15,20,27,11,20120414
2,8,17,30,31,38,25,20120407
4,8,25,27,37,41,21,20120331
1,2,23,25,38,40,43,20120324
17,22,26,27,36,39,20,20120317
1,3,27,28,32,45,11,20120310
12,15,19,22,28,34,5,20120303
1,10,16,24,25,35,43,20120225
3,4,23,29,40,41,20,20120218
3,5,10,17,30,31,16,20120211
8,23,25,27,35,44,24,20120204
18,29,30,37,39,43,8,20120128
14,25,29,32,33,45,37,20120121
9,12,13,15,37,38,27,20120114
1,9,14,16,21,29,3,20120107
4,13,18,31,33,45,43,20111231
8,13,20,22,23,36,34,20111224
16,25,26,31,36,43,44,20111217
6,13,29,37,39,41,43,20111210
10,16,20,39,41,42,27,20111203
4,21,22,34,37,38,33,20111126
8,13,15,28,37,43,17,20111119
2,12,14,17,24,40,39,20111112
4,10,13,23,32,44,20,20111105
1,8,11,13,22,38,31,20111029
6,12,15,34,42,44,4,20111022
23,29,31,33,34,44,40,20111015
3,20,24,32,37,45,4,20111008
11,18,26,31,37,40,43,20111001
8,11,28,30,43,45,41,20110924
4,6,10,14,25,40,12,20110917
4,9,10,32,36,40,18,20110910
8,10,18,23,27,40,33,20110903
1,7,12,18,23,27,44,20110827
4,19,20,26,30,35,24,20110820
13,25,27,34,38,41,10,20110813
12,24,33,38,40,42,30,20110806
8,10,18,30,32,34,27,20110730
12,15,20,24,30,38,29,20110723
6,14,19,21,23,31,13,20110716
3,10,20,26,35,43,36,20110709
3,7,13,27,40,41,36,20110702
2,7,8,9,17,33,34,20110625
1,11,12,14,26,35,6,20110618
13,20,21,30,39,45,32,20110611
11,13,23,35,43,45,17,20110604
4,6,10,19,20,44,14,20110528
25,27,29,36,38,40,41,20110521
1,23,28,30,34,35,9,20110514
10,22,28,34,36,44,2,20110507
17,20,30,31,37,40,25,20110430
6,12,20,26,29,38,45,20110423
11,16,29,38,41,44,21,20110416
9,14,20,22,33,34,28,20110409
8,16,26,30,38,45,42,20110402
3,13,20,24,33,37,35,20110326
19,23,29,33,35,43,27,20110319
2,3,5,11,27,39,33,20110312
18,22,25,31,38,45,6,20110305
1,3,16,18,30,34,44,20110226
3,23,28,34,39,42,16,20110219
12,16,19,22,37,40,8,20110212
6,7,15,24,28,30,21,20110205
4,17,18,27,39,43,19,20110129
8,10,14,27,33,38,3,20110122
10,11,26,31,34,44,30,20110115
1,17,27,28,29,40,5,20110108
8,15,19,21,34,44,12,20110101
6,11,26,27,28,44,30,20101225
4,9,10,29,31,34,27,20101218
2,11,13,14,28,30,7,20101211
11,13,15,26,28,34,31,20101204
4,5,14,20,22,43,44,20101127
5,6,8,11,22,26,44,20101120
7,17,20,26,30,40,24,20101113
2,14,15,22,23,44,43,20101106
2,9,15,23,34,40,3,20101030
4,7,39,41,42,45,40,20101023
11,14,22,35,37,39,5,20101016
1,3,18,32,40,41,16,20101009
6,9,21,31,32,40,38,20101002
9,20,21,22,30,37,16,20100925
6,7,13,16,24,25,1,20100918
7,12,21,24,27,36,45,20100911
1,2,10,25,26,44,4,20100904
5,20,21,24,33,40,36,20100828
10,14,22,24,28,37,26,20100821
5,9,15,19,22,36,32,20100814
6,12,18,31,38,43,9,20100807
9,21,27,34,41,43,2,20100731
1,2,9,17,19,42,20,20100724
10,15,20,23,42,44,7,20100717
12,13,17,22,25,33,8,20100710
18,20,31,34,40,45,30,20100703
11,15,20,26,31,35,7,20100626
1,13,20,22,25,28,15,20100619
9,16,28,40,41,43,21,20100612
1,3,7,8,24,42,43,20100605
10,11,18,22,28,39,30,20100529
16,17,28,37,39,40,15,20100522
7,16,18,20,23,26,3,20100515
1,8,9,17,29,32,45,20100508
1,26,31,34,40,43,20,20100501
4,7,10,19,31,40,26,20100424
7,12,19,21,29,32,9,20100417
11,22,24,32,36,38,7,20100410
4,15,28,33,37,40,25,20100403
10,15,22,24,27,42,19,20100327
1,5,10,12,16,20,11,20100320
1,2,8,17,26,37,27,20100313
6,10,22,31,35,40,19,20100306
5,22,29,31,34,39,43,20100227
6,22,29,37,43,45,23,20100220
1,11,13,24,28,40,7,20100213
4,8,19,25,27,45,7,20100206
11,13,15,17,25,34,26,20100130
15,26,37,42,43,45,9,20100123
8,11,14,16,18,21,13,20100116
7,9,15,26,27,42,18,20100109
16,18,24,42,44,45,17,20100102
17,20,35,36,41,43,21,20091226
11,21,24,30,39,45,26,20091219
3,22,25,29,32,44,19,20091212
5,12,19,26,27,44,38,20091205
5,15,21,25,26,30,31,20091128
2,5,7,14,16,40,4,20091121
11,12,14,21,32,38,6,20091114
2,3,22,27,30,40,29,20091107
5,10,16,24,27,35,33,20091031
4,16,23,25,35,40,27,20091024
1,10,19,20,24,40,23,20091017
